screen_rank,candidate_id,arxiv_id,title,authors,published,primary_category,route_ids,route_families,route_ranks,C0_candidate,C1_metadata,C2_abstract,domain_hits,method_hits,mechanism_hits,evaluation_hits,screen_score,decision,screen_reason,canonical_url,pdf_url,raw_files
109,arxiv:1511.07102,1511.07102,Efficient MCMC implementation of multi-state mark-recapture models,Jessica H Ford; Toby A Patterson; Mark V Bravington,2015-11-23T03:32:08Z,stat.AP,Q17,correction,Q17:22,pass,pass,pass,,sampling;sampler;mcmc;metropolis,,bias,14,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/1511.07102,https://arxiv.org/pdf/1511.07102v1,raw/arxiv/Q17.xml
110,arxiv:2212.05125,2212.05125,The entropy production of stationary diffusions,Lancelot Da Costa; Grigorios A. Pavliotis,2022-12-09T21:53:53Z,cond-mat.stat-mech,Q09,entropy_production,Q09:29,pass,pass,pass,,sampling;diffusion,path space;non-equilibrium;entropy production,exact,14,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2212.05125,https://arxiv.org/pdf/2212.05125v3,raw/arxiv/Q09.xml
111,arxiv:2403.06069,2403.06069,Implicit Image-to-Image Schrodinger Bridge for Image Restoration,Yuang Wang; Siyeop Yoon; Pengfei Jin; Matthew Tivnan; Sifan Song; Zhennong Chen; Rui Hu; Li Zhang; Quanzheng Li; Zhiqiang Chen; Dufan Wu,2024-03-10T03:22:57Z,eess.IV,Q18,adjacent,Q18:6,pass,pass,pass,,sampling;generative;diffusion,schrödinger;schrodinger,,14,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2403.06069,https://arxiv.org/pdf/2403.06069v3,raw/arxiv/Q18.xml
112,arxiv:2411.09514,2411.09514,On importance sampling and independent Metropolis-Hastings with an unbounded weight function,George Deligiannidis; Pierre E. Jacob; El Mahdi Khribch; Guanyang Wang,2024-11-14T15:26:53Z,math.ST,Q17,correction,Q17:10,pass,pass,pass,,sampling;monte carlo;importance sampling;metropolis,,bias,14,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2411.09514,https://arxiv.org/pdf/2411.09514v3,raw/arxiv/Q17.xml
113,arxiv:2507.11025,2507.11025,Human-Guided Shade Artifact Suppression in CBCT-to-MDCT Translation via Schrödinger Bridge with Conditional Diffusion,Sung Ho Kang; Hyun-Cheol Park,2025-07-15T06:44:53Z,cs.CV,Q18,adjacent,Q18:5,pass,pass,pass,,sampling;generative;diffusion,schrödinger;schrodinger,,14,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2507.11025,https://arxiv.org/pdf/2507.11025v1,raw/arxiv/Q18.xml
114,arxiv:2505.04611,2505.04611,Particle Gibbs without the Gibbs bit,Adrien Corenflos,2025-05-07T17:55:32Z,stat.CO,Q17,correction,Q17:9,pass,pass,pass,,sampling;monte carlo;metropolis,trajectory,exact,13,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2505.04611,https://arxiv.org/pdf/2505.04611v4,raw/arxiv/Q17.xml
115,arxiv:2512.01153,2512.01153,DPAC: Distribution-Preserving Adversarial Control for Diffusion Sampling,Han-Jin Lee; Han-Ju Lee; Jin-Seong Kim; Seok-Hwan Choi,2025-12-01T00:15:05Z,cs.CV,Q08,path_space,Q08:25,pass,pass,pass,,sampling;generative;diffusion,path-space,exact,13,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2512.01153,https://arxiv.org/pdf/2512.01153v2,raw/arxiv/Q08.xml
116,arxiv:2602.10989,2602.10989,Variational Optimality of Föllmer Processes in Generative Diffusions,Yifan Chen; Eric Vanden-Eijnden,2026-02-11T16:15:19Z,math.ST,Q08,path_space,Q08:24,pass,pass,pass,,generative;diffusion,path-space;stochastic control;schrödinger,,13,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2602.10989,https://arxiv.org/pdf/2602.10989v3,raw/arxiv/Q08.xml
117,arxiv:2605.13681,2605.13681,Sampling from Flow Language Models via Marginal-Conditioned Bridges,Iskander Azangulov; Leo Zhang,2026-05-13T15:38:48Z,cs.LG,Q08,path_space,Q08:13,pass,pass,pass,,sampling;sampler;diffusion,path-space,exact,13,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.13681,https://arxiv.org/pdf/2605.13681v1,raw/arxiv/Q08.xml
118,arxiv:2605.22723,2605.22723,The Value of Covariance Matching in Gaussian DDPMs and the Lanczos Sampler,Md Sahil Akhtar; Aymane El Gadarri; Vivek F. Farias; Adam D. Jozefiak,2026-05-21T16:57:27Z,cs.LG,Q08,path_space,Q08:11,pass,pass,pass,,sampling;sampler,path-space;trajectory,exact;variance,13,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.22723,https://arxiv.org/pdf/2605.22723v1,raw/arxiv/Q08.xml
119,arxiv:0911.0230,0911.0230,Particle filtering within adaptive Metropolis Hastings sampling,Ralph Silva; Paolo Giordani; Robert Kohn; Mike Pitt,2009-11-02T13:43:29Z,stat.CO,Q17,correction,Q17:28,pass,pass,pass,,sampling;sampler;metropolis,,exact;bias,12,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/0911.0230,https://arxiv.org/pdf/0911.0230v1,raw/arxiv/Q17.xml
120,arxiv:2302.04411,2302.04411,Geometry of Score Based Generative Models,Sandesh Ghimire; Jinyang Liu; Armand Comas; Davin Hill; Aria Masoomi; Octavia Camps; Jennifer Dy,2023-02-09T02:39:11Z,cs.LG,Q18,adjacent,Q18:9,pass,pass,pass,,sampling;generative;diffusion,schrodinger,,12,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2302.04411,https://arxiv.org/pdf/2302.04411v1,raw/arxiv/Q18.xml
121,arxiv:2312.03491,2312.03491,Schrodinger Bridges Beat Diffusion Models on Text-to-Speech Synthesis,Zehua Chen; Guande He; Kaiwen Zheng; Xu Tan; Jun Zhu,2023-12-06T13:31:55Z,cs.LG,Q18,adjacent,Q18:8,pass,pass,pass,,sampling;sampler;diffusion,schrodinger,,12,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2312.03491,https://arxiv.org/pdf/2312.03491v1,raw/arxiv/Q18.xml
122,arxiv:2509.01629,2509.01629,Lipschitz-Guided Design of Interpolation Schedules in Generative Models,Yifan Chen; Eric Vanden-Eijnden; Jiawei Xu,2025-09-01T17:16:34Z,stat.ML,Q08,path_space,Q08:27,pass,pass,pass,,sampling;generative;diffusion,path space,,12,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2509.01629,https://arxiv.org/pdf/2509.01629v3,raw/arxiv/Q08.xml
123,arxiv:2602.06849,2602.06849,Improved Sampling Schedules for Discrete Diffusion Models,Alberto Foresti; Mustapha Bounoua; Giulio Franzese; Luca Ambrogioni; Pietro Michiardi,2026-02-06T16:38:22Z,cs.LG,Q09,entropy_production,Q09:9,pass,pass,pass,,sampling;generative;diffusion,entropy production,,12,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2602.06849,https://arxiv.org/pdf/2602.06849v2,raw/arxiv/Q09.xml
124,arxiv:2604.15694,2604.15694,Neural Continuous-Time Markov Chain: Discrete Diffusion via Decoupled Jump Timing and Direction,Jingyuan Li; Xiaoyi Jiang; Fukang Wen; Wei Liu; Renqian Luo; Yi Zhu; Zuoqiang Shi; Pipi Hu,2026-04-17T04:40:19Z,cs.LG,Q08,path_space,Q08:17,pass,pass,pass,,sampling;generative;diffusion,path-space,,12,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2604.15694,https://arxiv.org/pdf/2604.15694v2,raw/arxiv/Q08.xml
125,arxiv:2605.30722,2605.30722,Self-Certifying Transport MCMC via Dual Spectral-Gap Certificates,Jun Hu,2026-05-29T01:31:56Z,cs.LG,Q17,correction,Q17:3,pass,pass,pass,,monte carlo;mcmc;metropolis,,acceptance;effective sample,12,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.30722,https://arxiv.org/pdf/2605.30722v2,raw/arxiv/Q17.xml
126,arxiv:1406.5795,1406.5795,An extended space approach for particle Markov chain Monte Carlo methods,Christopher K. Carter; Eduardo F. Mendes; Robert Kohn,2014-06-23T02:23:45Z,stat.ME,Q17,correction,Q17:24,pass,pass,pass,,monte carlo;mcmc;metropolis,,acceptance,11,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/1406.5795,https://arxiv.org/pdf/1406.5795v2,raw/arxiv/Q17.xml
127,arxiv:2406.17699,2406.17699,Variance Reduction for the Independent Metropolis Sampler,Siran Liu; Petros Dellaportas; Michalis K. Titsias,2024-06-25T16:38:53Z,math.ST,Q17,correction,Q17:12,pass,pass,pass,,sampling;sampler;metropolis,,variance,11,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2406.17699,https://arxiv.org/pdf/2406.17699v2,raw/arxiv/Q17.xml
128,arxiv:2511.07116,2511.07116,BridgeVoC: Revitalizing Neural Vocoder from a Restoration Perspective,Andong Li; Tong Lei; Rilin Chen; Kai Li; Meng Yu; Xiaodong Li; Dong Yu; Chengshi Zheng,2025-11-10T14:05:53Z,cs.SD,Q18,adjacent,Q18:2,pass,pass,pass,,sampling;diffusion,schrodinger;trajectory,,11,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2511.07116,https://arxiv.org/pdf/2511.07116v1,raw/arxiv/Q18.xml
129,arxiv:2512.06621,2512.06621,"Monotone data augmentation algorithm for longitudinal continuous, binary and ordinal outcomes: a unifying approach",Yongqiang Tang,2025-12-07T01:55:27Z,stat.ME,Q17,correction,Q17:7,pass,pass,pass,,sampling;sampler;metropolis,,variance,11,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2512.06621,https://arxiv.org/pdf/2512.06621v2,raw/arxiv/Q17.xml
130,arxiv:2605.12379,2605.12379,Discrete Flow Matching for Offline-to-Online Reinforcement Learning,Fairoz Nower Khan; Nabuat Zaman Nahim; Peizhong Ju,2026-05-12T16:44:02Z,cs.LG,Q08,path_space,Q08:14,pass,pass,pass,,generative;diffusion,path-space;trajectory,,11,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.12379,https://arxiv.org/pdf/2605.12379v1,raw/arxiv/Q08.xml
131,arxiv:2507.07192,2507.07192,Bridging the Last Mile of Prediction: Enhancing Time Series Forecasting with Conditional Guided Flow Matching,Huibo Xu; Runlong Yu; Likang Wu; Xianquan Wang; Qi Liu,2025-07-09T18:03:31Z,cs.LG,Q08,path_space,Q08:30,pass,pass,pass,,sampling;generative,path space,bias,10,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2507.07192,https://arxiv.org/pdf/2507.07192v3,raw/arxiv/Q08.xml
132,arxiv:2507.19718,2507.19718,GSCache: Real-Time Radiance Caching for Volume Path Tracing using 3D Gaussian Splatting,David Bauer; Qi Wu; Hamid Gadirov; Kwan-Liu Ma,2025-07-25T23:55:54Z,cs.GR,Q08,path_space,Q08:29,pass,pass,pass,,sampling;monte carlo,path-space,variance,10,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2507.19718,https://arxiv.org/pdf/2507.19718v2,raw/arxiv/Q08.xml
133,arxiv:2602.21426,2602.21426,Proximal-IMH: Proximal Posterior Proposals for Independent Metropolis-Hastings with Approximate Operators,Youguang Chen; George Biros,2026-02-24T22:58:50Z,cs.LG,Q17,correction,Q17:6,pass,pass,pass,,sampling;metropolis,,acceptance;exact;bias,10,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2602.21426,https://arxiv.org/pdf/2602.21426v2,raw/arxiv/Q17.xml
134,arxiv:2604.07867,2604.07867,Stochastic Thermodynamics for Autoregressive Generative Models: A Non-Markovian Perspective,Takahiro Sagawa,2026-04-09T06:32:15Z,cond-mat.stat-mech,Q09,entropy_production,Q09:7,pass,pass,pass,,sampling;generative,entropy production,exact,10,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2604.07867,https://arxiv.org/pdf/2604.07867v2,raw/arxiv/Q09.xml
135,arxiv:2607.13757,2607.13757,Girsanov Reweighting for Uncertainty Propagation in Rare-Event Kinetics,Leonard Moracchini; Thomas Pigeon; Morgane Menz; Thibault Faney; Thomas D. Swinburne; Mihai-Cosmin Marinica,2026-07-15T12:17:58Z,physics.chem-ph,Q08,path_space,Q08:1,pass,pass,pass,,sampling;reweight,path-space,exact,10,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2607.13757,https://arxiv.org/pdf/2607.13757v1,raw/arxiv/Q08.xml
136,arxiv:1307.3719,1307.3719,Comparison of asymptotic variances of inhomogeneous Markov chains with application to Markov chain Monte Carlo methods,Florian Maire; Randal Douc; Jimmy Olsson,2013-07-14T10:22:35Z,stat.ME,Q17,correction,Q17:25,pass,pass,pass,,monte carlo;metropolis,,exact;variance,9,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/1307.3719,https://arxiv.org/pdf/1307.3719v4,raw/arxiv/Q17.xml
137,arxiv:2306.05917,2306.05917,Impact of conditional modelling for a universal autoregressive quantum state,Massimo Bortone; Yannic Rath; George H. Booth,2023-06-09T14:17:32Z,quant-ph,Q16,evaluation,Q16:25,pass,pass,pass,,sampling;metropolis,,autocorrelation;bias,9,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2306.05917,https://arxiv.org/pdf/2306.05917v3,raw/arxiv/Q16.xml
138,arxiv:2405.18381,2405.18381,Short-time Fokker-Planck propagator beyond the Gaussian approximation,Julian Kappler,2024-05-28T17:22:40Z,cond-mat.stat-mech,Q09,entropy_production,Q09:22,pass,pass,pass,,sampling,path space;entropy production,exact,9,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2405.18381,https://arxiv.org/pdf/2405.18381v1,raw/arxiv/Q09.xml
139,arxiv:2508.12511,2508.12511,Trust Region Constrained Measure Transport in Path Space for Stochastic Optimal Control and Inference,Denis Blessing; Julius Berner; Lorenz Richter; Carles Domingo-Enrich; Yuanqi Du; Arash Vahdat; Gerhard Neumann,2025-08-17T22:10:35Z,cs.LG,Q08,path_space,Q08:28,pass,pass,pass,,sampling;diffusion,path space,,9,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2508.12511,https://arxiv.org/pdf/2508.12511v2,raw/arxiv/Q08.xml
140,arxiv:2512.19616,2512.19616,Thermodynamics of large-scale chemical reaction networks,Schuyler B. Nicholson; Luis Pedro García-Pintos,2025-12-22T17:50:32Z,cond-mat.stat-mech,Q09,entropy_production,Q09:12,pass,pass,pass,,sampling,nonequilibrium;entropy production,exact,9,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2512.19616,https://arxiv.org/pdf/2512.19616v1,raw/arxiv/Q09.xml
141,arxiv:2606.06179,2606.06179,Diffusion Models Observe Only Gradients: A Geometric Perspective on Score Matching Errors,Naïl B. Khelifa; Richard E. Turner; Ramji Venkataramanan,2026-06-04T13:53:38Z,stat.ML,Q08,path_space,Q08:8,pass,pass,pass,,sampling;diffusion,path-space,,9,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2606.06179,https://arxiv.org/pdf/2606.06179v2,raw/arxiv/Q08.xml
142,arxiv:2607.07453,2607.07453,Collaborate to decorrelate in path space: Hamiltonian replica exchange transition interface sampling (HRETIS),Sina Safaei; Parham Rezaee; An Ghysels,2026-07-08T14:22:31Z,physics.comp-ph,Q08,path_space,Q08:4,pass,pass,pass,,sampling;monte carlo,path space,,9,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2607.07453,https://arxiv.org/pdf/2607.07453v1,raw/arxiv/Q08.xml
143,arxiv:2405.02467,2405.02467,Markov State Model Approach to Simulate Self-Assembly,Anthony Trubiano; Michael F. Hagan,2024-05-03T20:02:49Z,cond-mat.soft,Q09,entropy_production,Q09:23,pass,pass,pass,,sampling,nonequilibrium;entropy production,,8,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2405.02467,https://arxiv.org/pdf/2405.02467v1,raw/arxiv/Q09.xml
144,arxiv:2507.10476,2507.10476,Large Interconnected Thermodynamic Systems Nearly Minimize Entropy Production,Kyle J. Ray; Alexander B. Boyd,2025-07-14T16:56:04Z,cond-mat.stat-mech,Q09,entropy_production,Q09:15,pass,pass,pass,,sampling,nonequilibrium;entropy production,,8,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2507.10476,https://arxiv.org/pdf/2507.10476v2,raw/arxiv/Q09.xml
145,arxiv:2510.02961,2510.02961,Percolation and criticality of systems with competing interactions on Bethe lattices: limitations and potential strengths of cluster schemes,Greivin Alfaro Miranda; Mingyuan Zheng; Patrick Charbonneau; Antonio Coniglio; Leticia F. Cugliandolo; Marco Tarzia,2025-10-03T12:52:52Z,cond-mat.stat-mech,Q11,critical_slowing,Q11:21,pass,pass,pass,,sampling;monte carlo,,critical slowing,8,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2510.02961,https://arxiv.org/pdf/2510.02961v1,raw/arxiv/Q11.xml
146,arxiv:2601.04358,2601.04358,Energy-Time-Accuracy Tradeoffs in Thermodynamic Computing,Alberto Rolandi; Paolo Abiuso; Patryk Lipka-Bartosik; Maxwell Aifer; Patrick J. Coles; Martí Perarnau-Llobet,2026-01-07T19:49:44Z,cond-mat.stat-mech,Q09,entropy_production,Q09:11,pass,pass,pass,,langevin,non-equilibrium;entropy production,,8,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2601.04358,https://arxiv.org/pdf/2601.04358v1,raw/arxiv/Q09.xml
147,arxiv:2605.27770,2605.27770,Sampling Triangulations and Calabi-Yau Threefolds with Autoregressive GNNs,Nate MacFadden,2026-05-26T23:40:50Z,hep-th,Q16,evaluation,Q16:3,pass,pass,pass,,sampling;sampler,,autocorrelation,8,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.27770,https://arxiv.org/pdf/2605.27770v3,raw/arxiv/Q16.xml
148,arxiv:2508.20584,2508.20584,Flowing Straighter with Conditional Flow Matching for Accurate Speech Enhancement,Mattias Cross; Anton Ragni,2025-08-28T09:21:22Z,cs.SD,Q18,adjacent,Q18:4,pass,pass,pass,,generative,schrodinger,variance,7,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2508.20584,https://arxiv.org/pdf/2508.20584v1,raw/arxiv/Q18.xml
149,arxiv:2604.26534,2604.26534,Neural and Tensor Networks in the Study of Quantum Annealing Processors,Tomasz Śmierzchalski,2026-04-29T11:03:55Z,quant-ph,Q09,entropy_production,Q09:5,pass,pass,pass,,sampling,entropy production,exact,7,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2604.26534,https://arxiv.org/pdf/2604.26534v2,raw/arxiv/Q09.xml
150,arxiv:2605.05764,2605.05764,Weighted Phase-Space Paths for Exact Wigner Dynamics,Surachate Limkumnerd; Panat Phanthaphanitkul,2026-05-07T06:57:15Z,quant-ph,Q09,entropy_production,Q09:4,pass,pass,pass,,diffusion,entropy production,exact,7,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.05764,https://arxiv.org/pdf/2605.05764v1,raw/arxiv/Q09.xml
151,arxiv:2605.27079,2605.27079,Trust Region Q Adjoint Matching,Yonghoon Dong; Kyungmin Lee; Changyeon Kim; Jaehyuk Kim; Jinwoo Shin,2026-05-26T14:28:43Z,cs.LG,Q08,path_space,Q08:9,pass,pass,pass,,sampling,path-space,exact,7,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.27079,https://arxiv.org/pdf/2605.27079v1,raw/arxiv/Q08.xml
152,arxiv:2110.13216,2110.13216,Adaptation of the Independent Metropolis-Hastings Sampler with Normalizing Flow Proposals,James A. Brofos; Marylou Gabrié; Marcus A. Brubaker; Roy R. Lederman,2021-10-25T18:58:55Z,stat.CO,Q17,correction,Q17:16,pass,pass,pass,,sampling;sampler;monte carlo;mcmc;normalizing flow;metropolis,,,19,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2110.13216,https://arxiv.org/pdf/2110.13216v1,raw/arxiv/Q17.xml
153,arxiv:2105.01039,2105.01039,A Metropolized adaptive subspace algorithm for high-dimensional Bayesian variable selection,Christian Staerk; Maria Kateri; Ioannis Ntzoufras,2021-05-03T17:37:46Z,stat.ME,Q17,correction,Q17:17,pass,pass,pass,,sampling;sampler;monte carlo;mcmc;metropolis,,,16,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2105.01039,https://arxiv.org/pdf/2105.01039v2,raw/arxiv/Q17.xml
154,arxiv:2302.04763,2302.04763,On Sampling with Approximate Transport Maps,Louis Grenioux; Alain Durmus; Éric Moulines; Marylou Gabrié,2023-02-09T16:52:52Z,stat.ML,Q17,correction,Q17:15,pass,pass,pass,,sampling;sampler;monte carlo;normalizing flow;metropolis,,,16,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2302.04763,https://arxiv.org/pdf/2302.04763v3,raw/arxiv/Q17.xml
155,arxiv:2606.03033,2606.03033,Local and Global Contraction Principles for MCMC Mixing,Alireza Daeijavad; Shahab Asoodeh,2026-06-02T02:16:52Z,cs.IT,Q17,correction,Q17:2,pass,pass,pass,,sampling;monte carlo;mcmc;metropolis;langevin,,,16,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2606.03033,https://arxiv.org/pdf/2606.03033v1,raw/arxiv/Q17.xml
156,arxiv:1610.09017,1610.09017,Applications of Jarzynski's relation in lattice gauge theories,Alessandro Nada; Michele Caselle; Gianluca Costagliola; Marco Panero; Arianna Toniato,2016-10-27T21:34:28Z,hep-lat,Q12,jarzynski,Q12:21,pass,pass,pass,lattice gauge;hep-lat,,schrödinger;non-equilibrium;jarzynski,,15,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/1610.09017,https://arxiv.org/pdf/1610.09017v1,raw/arxiv/Q12.xml
157,arxiv:1501.05757,1501.05757,On the Geometric Ergodicity of Metropolis-Hastings Algorithms for Lattice Gaussian Sampling,Zheng Wang; Cong Ling,2015-01-23T09:58:20Z,cs.IT,Q17;Q19,correction,Q17:23;Q19:4,pass,pass,pass,,sampling;monte carlo;mcmc;metropolis,,,14,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/1501.05757,https://arxiv.org/pdf/1501.05757v5,expansion/raw/arxiv/Q19.xml;raw/arxiv/Q17.xml
158,arxiv:1704.02673,1704.02673,Lattice Gaussian Sampling by Markov Chain Monte Carlo: Bounded Distance Decoding and Trapdoor Sampling,Zheng Wang; Cong Ling,2017-04-09T23:42:33Z,cs.IT,Q17;Q19,correction,Q17:20;Q19:3,pass,pass,pass,,sampling;monte carlo;mcmc;metropolis,,,14,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/1704.02673,https://arxiv.org/pdf/1704.02673v2,expansion/raw/arxiv/Q19.xml;raw/arxiv/Q17.xml
159,arxiv:1211.2582,1211.2582,Sequentially interacting Markov chain Monte Carlo methods,Anthony Brockwell; Pierre Del Moral; Arnaud Doucet,2012-11-12T11:53:55Z,math.ST,Q17,correction,Q17:26,pass,pass,pass,,sampling;monte carlo;mcmc;metropolis,,,13,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/1211.2582,https://arxiv.org/pdf/1211.2582v1,raw/arxiv/Q17.xml
160,arxiv:1707.01660,1707.01660,Particle MCMC with Poisson Resampling: Parallelization and Continuous Time Models,Tomasz Cąkała; Błażej Miasojedow; Wojciech Niemiro,2017-07-06T07:17:55Z,stat.CO,Q17,correction,Q17:19,pass,pass,pass,,sampling;sampler;mcmc;metropolis,,,13,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/1707.01660,https://arxiv.org/pdf/1707.01660v2,raw/arxiv/Q17.xml
161,arxiv:2404.02965,2404.02965,Quantum thermodynamics of nonequilibrium processes in lattice gauge theories,Zohreh Davoudi; Christopher Jarzynski; Niklas Mueller; Greeshma Oruganti; Connor Powers; Nicole Yunger Halpern,2024-04-03T18:00:03Z,quant-ph,Q12,jarzynski,Q12:8,pass,pass,pass,lattice gauge;hep-lat,,nonequilibrium,,11,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2404.02965,https://arxiv.org/pdf/2404.02965v2,raw/arxiv/Q12.xml
162,arxiv:0801.1864,0801.1864,Adaptive Independent Metropolis-Hastings by Fast Estimation of Mixtures of Normals,P. Giordani; R. Kohn,2008-01-11T22:53:12Z,stat.CO,Q17,correction,Q17:30,pass,pass,pass,,sampling;sampler;metropolis,,,10,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/0801.1864,https://arxiv.org/pdf/0801.1864v1,raw/arxiv/Q17.xml
163,arxiv:1604.08016,1604.08016,Adaptive Incremental Mixture Markov chain Monte Carlo,Florian Maire; Nial Friel; Antonietta Mira; Adrian Raftery,2016-04-27T10:59:56Z,stat.ME,Q17,correction,Q17:21,pass,pass,pass,,monte carlo;mcmc;metropolis,,,10,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/1604.08016,https://arxiv.org/pdf/1604.08016v2,raw/arxiv/Q17.xml
164,arxiv:2205.04332,2205.04332,Robust parameter estimation from pulsar timing data,A. Samajdar; G. Shaifullah; A. Sesana; J. Antoniadis; M. Burgay; D. J. Champion; S. Chen; M. Kramer; J. W. McKee; M. B. Mickaliger; E. Van der Wateren,2022-05-09T14:34:26Z,gr-qc,Q15,author,Q15:7,pass,pass,pass,,sampling;sampler;monte carlo,,,10,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2205.04332,https://arxiv.org/pdf/2205.04332v1,raw/arxiv/Q15.xml
165,arxiv:2602.23731,2602.23731,A Machine Learning Approach for Lattice Gauge Fixing,Ho Hsiao; Benjamin J. Choi; Hiroshi Ohno; Akio Tomiya,2026-02-27T06:57:20Z,hep-lat,Q11,critical_slowing,Q11:12,pass,pass,pass,lattice gauge;hep-lat,,,critical slowing,10,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2602.23731,https://arxiv.org/pdf/2602.23731v2,raw/arxiv/Q11.xml
166,arxiv:2604.00375,2604.00375,"Locally Confident, Globally Stuck: The Quality-Exploration Dilemma in Diffusion Language Models",Liancheng Fang; Aiwei Liu; Henry Peng Zou; Yankai Chen; Enze Ma; Leyi Pan; Chunyu Miao; Wei-Chieh Huang; Xue Liu; Philip S. Yu,2026-04-01T02:01:30Z,cs.CL,Q17,correction,Q17:4,pass,pass,pass,,sampler;diffusion;metropolis,,,10,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/2604.00375,https://arxiv.org/pdf/2604.00375v1,raw/arxiv/Q17.xml
167,arxiv:0911.3204,0911.3204,Scaling study of the relativistic corrections to the static potential,Yoshiaki Koma; Miho Koma,2009-11-17T05:11:35Z,hep-lat,Q23,multiscale,Q23:17,pass,pass,pass,lattice gauge;hep-lat,,,,9,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/0911.3204,https://arxiv.org/pdf/0911.3204v1,expansion/raw/arxiv/Q23.xml
168,arxiv:1411.3503,1411.3503,Light Glueball masses using the Multilevel Algorithm,Sourav Mondal; Pushan Majumdar; Nilmani Mathur,2014-11-13T11:20:04Z,hep-lat,Q23,multiscale,Q23:14,pass,pass,pass,lattice gauge;hep-lat,,,,9,exclude,did not jointly satisfy domain and sampling-method gates,https://arxiv.org/abs/1411.3503,https://arxiv.org/pdf/1411.3503v1,expansion/raw/arxiv/Q23.xml
