dijkstra_rank,candidate_id,title,decision,screen_score,route_occurrences,dijkstra_distance,priority_score,reachable,path_nodes,path_relations,path_edge_weights
211,doi:10.1007/jhep02(2025)090,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,include,9,1,1.75,0.653035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1007/jhep02(2025)090,paper_to_facet -> facet_to_paper,0.8 + 0.95
212,doi:10.22323/1.466.0069,Simulating the Hubbard Model with Equivariant Normalizing Flows,include,9,1,1.75,0.653035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.22323/1.466.0069,paper_to_facet -> facet_to_paper,0.8 + 0.95
213,doi:10.1103/physrevd.108.074518,"Sampling <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>U</mml:mi><mml:mo stretchy=""false"">(</mml:mo><mml:mn>1</mml:mn><mml:mo stretchy=""false"">)</mml:mo></mml:math> gauge theory using a retrainable conditional flow-based model",monitor,8,2,1.75,0.648035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1103/physrevd.108.074518,paper_to_facet -> facet_to_paper,0.8 + 0.95
214,doi:10.22323/1.466.0010,Machine-learning approaches to accelerating lattice simulations,monitor,8,1,1.75,0.643035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.22323/1.466.0010,paper_to_facet -> facet_to_paper,0.8 + 0.95
215,arxiv:2405.20322,Quantum generalizations of Glauber and Metropolis dynamics,monitor,8,1,1.75,0.643035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:arxiv:2405.20322,paper_to_facet -> facet_to_paper,0.8 + 0.95
216,doi:10.1007/jhep04(2026)051,Scaling flow-based approaches for topology sampling in SU(3) gauge theory,monitor,8,1,1.75,0.643035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1007/jhep04(2026)051,paper_to_facet -> facet_to_paper,0.8 + 0.95
217,doi:10.22323/1.430.0028,Towards the Application of Skewed Detailed Balance in Lattice Gauge Theories,monitor,8,1,1.75,0.643035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.22323/1.430.0028,paper_to_facet -> facet_to_paper,0.8 + 0.95
218,title:conditional log likelihood mdl and evolutionary mcmc,Conditional log-likelihood MDL and Evolutionary MCMC,monitor,6,1,1.75,0.623035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:title:conditional log likelihood mdl and evolutionary mcmc,paper_to_facet -> facet_to_paper,0.8 + 0.95
219,doi:10.1051/epjconf/202227409001,Applications of Lattice Gauge Equivariant Neural Networks,exclude,4,1,1.75,0.603035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1051/epjconf/202227409001,paper_to_facet -> facet_to_paper,0.8 + 0.95
220,title:equivariant convolutional networks,Equivariant convolutional networks,exclude,4,1,1.75,0.603035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:title:equivariant convolutional networks,paper_to_facet -> facet_to_paper,0.8 + 0.95
221,doi:10.1103/physrevlett.128.032003,Lattice Gauge Equivariant Convolutional Neural Networks,exclude,4,1,1.75,0.603035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1103/physrevlett.128.032003,paper_to_facet -> facet_to_paper,0.8 + 0.95
222,doi:10.1111/1467-937x.00050,Stochastic Volatility: Likelihood Inference and Comparison with ARCH Models,exclude,4,1,1.75,0.603035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1111/1467-937x.00050,paper_to_facet -> facet_to_paper,0.8 + 0.95
223,title:coda convergence diagnosis and output analysis for mcmc,CODA: convergence diagnosis and output analysis for MCMC,exclude,3,1,1.75,0.593035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:title:coda convergence diagnosis and output analysis for mcmc,paper_to_facet -> facet_to_paper,0.8 + 0.95
224,doi:10.4310/cntp.2007.v1.n1.a1,Electric-magnetic duality and the geometric Langlands program,exclude,3,1,1.75,0.593035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.4310/cntp.2007.v1.n1.a1,paper_to_facet -> facet_to_paper,0.8 + 0.95
225,doi:10.1103/physrevd.108.034503,Gauge-equivariant neural networks as preconditioners in lattice QCD,exclude,3,1,1.75,0.593035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1103/physrevd.108.034503,paper_to_facet -> facet_to_paper,0.8 + 0.95
226,doi:10.1081/sta-120018828,Note on the Sampling Distribution for the Metropolis-Hastings Algorithm,exclude,3,1,1.75,0.593035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1081/sta-120018828,paper_to_facet -> facet_to_paper,0.8 + 0.95
227,doi:10.1007/jhep10(2016)108,"Boundaries, mirror symmetry, and symplectic duality in 3d N = 4 $$ \mathcal{N}=4 $$ gauge theory",exclude,1,1,1.75,0.573035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1007/jhep10(2016)108,paper_to_facet -> facet_to_paper,0.8 + 0.95
228,doi:10.1038/s42254-023-00616-w,Advances in machine-learning-based sampling motivated by lattice quantum chromodynamics,exclude,-4,2,1.75,0.568035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1038/s42254-023-00616-w,paper_to_facet -> facet_to_paper,0.8 + 0.95
229,doi:10.1002/jcc.21287,CHARMM: The biomolecular simulation program,exclude,-5,2,1.75,0.568035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1002/jcc.21287,paper_to_facet -> facet_to_paper,0.8 + 0.95
230,title:3d steerable cnns learning rotationally equivariant features in volumetric data,3D steerable CNNs: learning rotationally equivariant features in volumetric data,exclude,-6,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:title:3d steerable cnns learning rotationally equivariant features in volumetric data,paper_to_facet -> facet_to_paper,0.8 + 0.95
231,doi:10.3390/e14112100,A Free Energy Principle for Biological Systems,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.3390/e14112100,paper_to_facet -> facet_to_paper,0.8 + 0.95
232,doi:10.1007/s44379-024-00011-x,A survey on machine learning approaches for uncertainty quantification of engineering systems,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1007/s44379-024-00011-x,paper_to_facet -> facet_to_paper,0.8 + 0.95
233,doi:10.1007/s00422-010-0364-z,Action and behavior: a free-energy formulation,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1007/s00422-010-0364-z,paper_to_facet -> facet_to_paper,0.8 + 0.95
234,doi:10.1080/14686996.2017.1361305,"Additive manufacturing of metals: a brief review of the characteristic microstructures and properties of steels, Ti-6Al-4V and high-entropy alloys",exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1080/14686996.2017.1361305,paper_to_facet -> facet_to_paper,0.8 + 0.95
235,doi:10.1214/aos/1030563990,Algebraic algorithms for sampling from conditional distributions,exclude,-6,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1214/aos/1030563990,paper_to_facet -> facet_to_paper,0.8 + 0.95
236,doi:10.1023/a:1007665907178,An Introduction to Variational Methods for Graphical Models,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1023/a:1007665907178,paper_to_facet -> facet_to_paper,0.8 + 0.95
237,doi:10.1038/s41467-019-10988-2,An adaptive variational algorithm for exact molecular simulations on a quantum computer,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41467-019-10988-2,paper_to_facet -> facet_to_paper,0.8 + 0.95
238,doi:10.1007/jhep07(2022)030,An efficient Lorentz equivariant graph neural network for jet tagging,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1007/jhep07(2022)030,paper_to_facet -> facet_to_paper,0.8 + 0.95
239,doi:10.1364/aop.484119,Artificial neural networks for photonic applications—from algorithms to implementation: tutorial,exclude,-12,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1364/aop.484119,paper_to_facet -> facet_to_paper,0.8 + 0.95
240,title:asymptotics of sample entropy production rate for stochastic differential equations,Asymptotics of Sample Entropy Production Rate for Stochastic Differential Equations,exclude,-4,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:title:asymptotics of sample entropy production rate for stochastic differential equations,paper_to_facet -> facet_to_paper,0.8 + 0.95
241,doi:10.1007/s10955-016-1513-0,Asymptotics of Sample Entropy Production Rate for Stochastic Differential Equations,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1007/s10955-016-1513-0,paper_to_facet -> facet_to_paper,0.8 + 0.95
242,doi:10.1016/s0167-9473(01)00009-3,Bayesian estimation of state-space models using the Metropolis–Hastings algorithm within Gibbs sampling,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1016/s0167-9473(01)00009-3,paper_to_facet -> facet_to_paper,0.8 + 0.95
243,doi:10.5167/uzh-71594,Bayesian mixed-effects inference on classification performance in hierarchical datasets,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.5167/uzh-71594,paper_to_facet -> facet_to_paper,0.8 + 0.95
244,doi:10.1214/ss/1009212519,"Bayesian model averaging: a tutorial (with comments by M. Clyde, David Draper and E. I. George, and a rejoinder by the authors",exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1214/ss/1009212519,paper_to_facet -> facet_to_paper,0.8 + 0.95
245,arxiv:2207.04037,Bayesian model comparison for simulation-based inference,exclude,-3,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:arxiv:2207.04037,paper_to_facet -> facet_to_paper,0.8 + 0.95
246,doi:10.1242/jeb.01556,"Body size, energy metabolism and lifespan",exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1242/jeb.01556,paper_to_facet -> facet_to_paper,0.8 + 0.95
247,doi:10.1038/ncomms2630,Broadband phonon mean free path contributions to thermal conductivity measured using frequency domain thermoreflectance,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/ncomms2630,paper_to_facet -> facet_to_paper,0.8 + 0.95
248,doi:10.1093/restud/rdaa042,Building the City: From Slums to a Modern Metropolis,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1093/restud/rdaa042,paper_to_facet -> facet_to_paper,0.8 + 0.95
249,doi:10.1063/5.0197592,CREST—A program for the exploration of low-energy molecular chemical space,exclude,-6,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1063/5.0197592,paper_to_facet -> facet_to_paper,0.8 + 0.95
250,doi:10.1038/nphys4270,Classical boson sampling algorithms with superior performance to near-term experiments,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1038/nphys4270,paper_to_facet -> facet_to_paper,0.8 + 0.95
251,arxiv:2005.12964,Contrastive Learning for Debiased Candidate Generation in Large-Scale Recommender Systems,exclude,-3,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:arxiv:2005.12964,paper_to_facet -> facet_to_paper,0.8 + 0.95
252,doi:10.1038/nphoton.2012.88,Controlling waves in space and time for imaging and focusing in complex media,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/nphoton.2012.88,paper_to_facet -> facet_to_paper,0.8 + 0.95
253,doi:10.1063/5.0157512,DeepQMC: An open-source software suite for variational optimization of deep-learning molecular wave functions,exclude,-4,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1063/5.0157512,paper_to_facet -> facet_to_paper,0.8 + 0.95
254,doi:10.1016/j.actamat.2016.11.016,Directly cast bulk eutectic and near-eutectic high entropy alloys with balanced strength and ductility in a wide temperature range,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1016/j.actamat.2016.11.016,paper_to_facet -> facet_to_paper,0.8 + 0.95
255,doi:10.1002/1097-0266(200010/11)21:10/11<1105::aid-smj133>3.0.co;2-e,Dynamic capabilities: what are they?,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1002/1097-0266(200010/11)21:10/11<1105::aid-smj133>3.0.co;2-e,paper_to_facet -> facet_to_paper,0.8 + 0.95
256,doi:10.5267/j.ac.2018.3.001,"E-banking services impact and customer satisfaction in selected bank branches in Ibadan metropolis, Oyo state, Nigeria",exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.5267/j.ac.2018.3.001,paper_to_facet -> facet_to_paper,0.8 + 0.95
257,doi:10.1002/(sici)1097-0134(19990501)35:2<133::aid-prot1>3.0.co;2-n,Effective energy function for proteins in solution,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1002/(sici)1097-0134(19990501)35:2<133::aid-prot1>3.0.co;2-n,paper_to_facet -> facet_to_paper,0.8 + 0.95
258,doi:10.1038/s41467-019-10303-z,"Electrosynthesis of high-entropy metallic glass nanoparticles for designer, multi-functional electrocatalysis",exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41467-019-10303-z,paper_to_facet -> facet_to_paper,0.8 + 0.95
259,doi:10.1103/physrevc.66.054902,Energy dependence of pion and kaon production in central Pb+Pb collisions,exclude,-13,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1103/physrevc.66.054902,paper_to_facet -> facet_to_paper,0.8 + 0.95
260,doi:10.1561/2000000117,Energy-Based Models with Applications to Speech and Language Processing,exclude,-3,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1561/2000000117,paper_to_facet -> facet_to_paper,0.8 + 0.95
261,doi:10.1039/c5ee03255e,Entropic stabilization of mixed A-cation ABX <sub>3</sub> metal halide perovskites for high performance perovskite solar cells,exclude,-13,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1039/c5ee03255e,paper_to_facet -> facet_to_paper,0.8 + 0.95
262,doi:10.1038/40779,Entropy difference between crystal phases,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/40779,paper_to_facet -> facet_to_paper,0.8 + 0.95
263,doi:10.1103/physreve.85.031129,Entropy production and Kullback-Leibler divergence between stationary trajectories of discrete systems,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1103/physreve.85.031129,paper_to_facet -> facet_to_paper,0.8 + 0.95
264,doi:10.1038/s41467-020-17738-9,Entropy-stabilized single-atom Pd catalysts via high-entropy fluorite oxide supports,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41467-020-17738-9,paper_to_facet -> facet_to_paper,0.8 + 0.95
265,doi:10.1103/physreve.56.5018,Equilibrium free-energy differences from nonequilibrium measurements: A master-equation approach,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1103/physreve.56.5018,paper_to_facet -> facet_to_paper,0.8 + 0.95
266,doi:10.1038/s41534-023-00710-y,Equivariant quantum circuits for learning on weighted graphs,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1038/s41534-023-00710-y,paper_to_facet -> facet_to_paper,0.8 + 0.95
267,doi:10.1038/s41557-023-01427-3,Exploring the frontiers of condensed-phase chemistry with a general reactive machine learning potential,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1038/s41557-023-01427-3,paper_to_facet -> facet_to_paper,0.8 + 0.95
268,arxiv:1810.04449,Faster Hamiltonian Monte Carlo by Learning Leapfrog Scale: a self-calibrated randomized solution,exclude,0,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:arxiv:1810.04449,paper_to_facet -> facet_to_paper,0.8 + 0.95
269,doi:10.3389/fpsyg.2012.00130,Free-Energy Minimization and the Dark-Room Problem,exclude,-13,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.3389/fpsyg.2012.00130,paper_to_facet -> facet_to_paper,0.8 + 0.95
270,doi:10.1007/s11229-007-9237-y,Free-energy and the brain,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1007/s11229-007-9237-y,paper_to_facet -> facet_to_paper,0.8 + 0.95
271,arxiv:2302.00615,GFlowNets for AI-Driven Scientific Discovery,exclude,-3,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:arxiv:2302.00615,paper_to_facet -> facet_to_paper,0.8 + 0.95
272,doi:10.1039/d3dd00002h,GFlowNets for AI-driven scientific discovery,exclude,-12,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1039/d3dd00002h,paper_to_facet -> facet_to_paper,0.8 + 0.95
273,arxiv:1911.08251,General $E(2)$-Equivariant Steerable CNNs,exclude,-12,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:1911.08251,paper_to_facet -> facet_to_paper,0.8 + 0.95
274,doi:10.1002/adfm.201905933,General Solvothermal Synthesis Method for Complete Solubility Range Bimetallic and High‐Entropy Alloy Nanocatalysts,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1002/adfm.201905933,paper_to_facet -> facet_to_paper,0.8 + 0.95
275,doi:10.1038/s41467-023-38468-8,General framework for E(3)-equivariant neural network representation of density functional theory Hamiltonian,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1038/s41467-023-38468-8,paper_to_facet -> facet_to_paper,0.8 + 0.95
276,arxiv:2110.02905,Geometric and Physical Quantities Improve E(3) Equivariant Message\n Passing,exclude,-4,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2110.02905,paper_to_facet -> facet_to_paper,0.8 + 0.95
277,doi:10.1007/s10462-023-10502-7,Geometric deep learning and equivariant neural networks,exclude,-6,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1007/s10462-023-10502-7,paper_to_facet -> facet_to_paper,0.8 + 0.95
278,doi:10.1038/s41560-023-01280-1,High-entropy electrolytes for practical lithium metal batteries,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41560-023-01280-1,paper_to_facet -> facet_to_paper,0.8 + 0.95
279,doi:10.1039/d1ee00505g,High-entropy energy materials: challenges and new opportunities,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1039/d1ee00505g,paper_to_facet -> facet_to_paper,0.8 + 0.95
280,doi:10.1038/s41467-019-11848-9,Highly efficient decomposition of ammonia using high-entropy alloy catalysts,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41467-019-11848-9,paper_to_facet -> facet_to_paper,0.8 + 0.95
281,doi:10.1038/s41467-024-48711-5,Imputation of label-free quantitative mass spectrometry-based proteomics data using self-supervised deep learning,exclude,-12,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1038/s41467-024-48711-5,paper_to_facet -> facet_to_paper,0.8 + 0.95
282,doi:10.1023/a:1022623210503,Learning Bayesian Networks: The Combination of Knowledge and Statistical Data,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1023/a:1022623210503,paper_to_facet -> facet_to_paper,0.8 + 0.95
283,doi:10.1103/physrevx.13.041033,Learning Interacting Theories from Data,exclude,-12,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1103/physrevx.13.041033,paper_to_facet -> facet_to_paper,0.8 + 0.95
284,arxiv:2405.06672,Liouville Flow Importance Sampler,exclude,0,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:arxiv:2405.06672,paper_to_facet -> facet_to_paper,0.8 + 0.95
285,doi:10.1140/epjc/s10052-023-11633-5,Lorentz group equivariant autoencoders,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1140/epjc/s10052-023-11633-5,paper_to_facet -> facet_to_paper,0.8 + 0.95
286,doi:10.6084/m9.figshare.11849175.v1,Metropolized Knockoff Sampling,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.6084/m9.figshare.11849175.v1,paper_to_facet -> facet_to_paper,0.8 + 0.95
287,doi:10.1016/j.actamat.2016.05.007,Microstructural stability and mechanical behavior of FeNiMnCr high entropy alloy under ion irradiation,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1016/j.actamat.2016.05.007,paper_to_facet -> facet_to_paper,0.8 + 0.95
288,doi:10.18653/v1/2022.acl-long.31,Mix and Match: Learning-free Controllable Text Generationusing Energy Language Models,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.18653/v1/2022.acl-long.31,paper_to_facet -> facet_to_paper,0.8 + 0.95
289,doi:10.1038/s43586-022-00121-x,Nested sampling for physical scientists,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1038/s43586-022-00121-x,paper_to_facet -> facet_to_paper,0.8 + 0.95
290,doi:10.1007/s10208-016-9340-x,On a Generalization of the Preconditioned Crank–Nicolson Metropolis Algorithm,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1007/s10208-016-9340-x,paper_to_facet -> facet_to_paper,0.8 + 0.95
291,doi:10.1007/s11222-011-9296-2,On adaptive Metropolis–Hastings methods,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1007/s11222-011-9296-2,paper_to_facet -> facet_to_paper,0.8 + 0.95
292,doi:10.1214/14-aos1278,On the efficiency of pseudo-marginal random walk Metropolis algorithms,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1214/14-aos1278,paper_to_facet -> facet_to_paper,0.8 + 0.95
293,doi:10.1080/10485250601033214,On the geometric ergodicity of Metropolis-Hastings algorithms,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1080/10485250601033214,paper_to_facet -> facet_to_paper,0.8 + 0.95
294,doi:10.1016/j.dsp.2016.07.013,Orthogonal parallel MCMC methods for sampling and optimization,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1016/j.dsp.2016.07.013,paper_to_facet -> facet_to_paper,0.8 + 0.95
295,doi:10.1126/sciadv.aav2002,Outstanding radiation resistance of tungsten-based high-entropy alloys,exclude,-6,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1126/sciadv.aav2002,paper_to_facet -> facet_to_paper,0.8 + 0.95
296,doi:10.2307/2061260,"Pathways to Independent Living in Early Adulthood: Marriage, Semiautonomy, and Premarital Residential Independence",exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.2307/2061260,paper_to_facet -> facet_to_paper,0.8 + 0.95
297,doi:10.1038/s42254-021-00314-5,Physics-informed machine learning,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1038/s42254-021-00314-5,paper_to_facet -> facet_to_paper,0.8 + 0.95
298,doi:10.1038/s41598-018-26827-1,Processing and Properties of High-Entropy Ultra-High Temperature Carbides,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41598-018-26827-1,paper_to_facet -> facet_to_paper,0.8 + 0.95
299,doi:10.1038/s41586-019-1666-5,Quantum supremacy using a programmable superconducting processor,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41586-019-1666-5,paper_to_facet -> facet_to_paper,0.8 + 0.95
300,doi:10.1038/s41467-017-00467-x,Rechargeable aqueous zinc-manganese dioxide batteries with high energy and power densities,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41467-017-00467-x,paper_to_facet -> facet_to_paper,0.8 + 0.95
301,doi:10.1103/physrevc.104.064001,Rigorous constraints on three-nucleon forces in chiral effective field theory from fast and accurate calculations of few-body observables,exclude,-4,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1103/physrevc.104.064001,paper_to_facet -> facet_to_paper,0.8 + 0.95
302,doi:10.1109/comst.2020.3028247,Satellite Communications in the New Space Era: A Survey and Future Challenges,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1109/comst.2020.3028247,paper_to_facet -> facet_to_paper,0.8 + 0.95
303,doi:10.1103/physreve.107.054127,Simulating first-order phase transition with hierarchical autoregressive networks,exclude,-4,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1103/physreve.107.054127,paper_to_facet -> facet_to_paper,0.8 + 0.95
304,doi:10.1186/s12889-018-6159-1,Sources of nutrition information and level of nutrition knowledge among young adults in the Accra metropolis,exclude,-7,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1186/s12889-018-6159-1,paper_to_facet -> facet_to_paper,0.8 + 0.95
305,doi:10.1214/13-aap982,Spectral gaps for a Metropolis–Hastings algorithm in infinite dimensions,exclude,-5,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1214/13-aap982,paper_to_facet -> facet_to_paper,0.8 + 0.95
306,doi:10.1038/s41467-020-15934-1,Synthesis of high-entropy alloy nanoparticles on supports by the fast moving bed pyrolysis,exclude,-14,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1038/s41467-020-15934-1,paper_to_facet -> facet_to_paper,0.8 + 0.95
307,doi:10.1098/rsif.2017.0792,"The Markov blankets of life: autonomy, active inference and the free energy principle",exclude,-13,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1098/rsif.2017.0792,paper_to_facet -> facet_to_paper,0.8 + 0.95
308,doi:10.1214/10-sts327,The Random Walk Metropolis: Linking Theory and Practice Through a Case Study,exclude,-4,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:correction -> paper:doi:10.1214/10-sts327,paper_to_facet -> facet_to_paper,0.8 + 0.95
309,doi:10.1088/1751-8113/40/30/f04,The transient fluctuation theorem of sample entropy production for general stochastic processes,exclude,-3,1,1.75,0.563035,yes,paper:arxiv:2606.13790 -> facet:objective -> paper:doi:10.1088/1751-8113/40/30/f04,paper_to_facet -> facet_to_paper,0.8 + 0.95
